,jadud_hw_03,jadud_hw_04,jadud_hw_05,jadud_hw_06,jadud_hw_07,jadud_hw_08
count,295.0,281.0,281.0,279.0,280.0,278.0
mean,0.0011243404771910165,0.04096710269105176,0.038545246084176345,0.041462622753516344,0.07161100187761948,0.11539604118499339
std,0.013892986419003628,0.1031471861601452,0.05546930164565262,0.0426809873731203,0.0988075400602245,0.11668157567787274
min,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.018320221445221448,0.0,0.0
50%,0.0,0.0,0.02564102564102564,0.033189033189033185,0.03233920229967661,0.08746753246753247
75%,0.0,0.0,0.058823529411764705,0.05834685807026768,0.11853832442067735,0.18293512043512045
max,0.1983471074380165,0.6666666666666666,0.5471698113207547,0.5454545454545455,0.6753246753246753,0.551948051948052
