,count,mean,std,min,25%,50%,75%,max
008a13042777e1aaca446a68fbc5b3877e6ed232,6.0,0.03026607538802661,0.06988155861775291,0.0,0.0,0.0,0.0066518847006651885,0.17272727272727273
0106f488719b5b6dec8020fdf6c9e2e6d2059227,6.0,0.16093876093876094,0.3166747526481353,0.0,0.005835380835380835,0.045004095004095,0.07023809523809524,0.8041958041958043
025e11c5a647be6af45e5040241901ecd65080f3,6.0,0.03467190814485754,0.07430027898999536,0.0,0.0,0.0,0.017134697762970018,0.18518518518518517
03ca17c101841d13b549bea0ce51f4e0fe320d0c,6.0,0.012668893503054376,0.01962731285964633,0.0,0.0,0.0,0.02830188679245283,0.03827751196172249
04810dc49618a521e56f3207dc85b34ec4e67375,6.0,0.03863519992552251,0.048733662466875646,0.0,0.0,0.025974025974025976,0.0569752827817344,0.12121212121212122
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795,6.0,0.13630196701848418,0.11425959050421136,0.025078369905956112,0.03228686207409612,0.12581893055468896,0.2373533724340176,0.26545454545454544
084446117d0ab708d724abbe76e58340d13dc899,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0b2b215d3895dc070ff308ca5d5733bb0abda40f,6.0,0.18969574373756445,0.194859337770506,0.02346041055718475,0.05086580086580087,0.11029550159984944,0.29367588932806327,0.5082644628099172
0c2eedb86a7888c7defd056d073fc040a338eec3,6.0,0.12420210978969294,0.11773348572937135,0.0,0.022727272727272728,0.1164079822616408,0.20283209030437413,0.2892561983471074
0c51503c95c50eeaf97615b29561f75e0d6d60c3,6.0,0.0994979094979095,0.10054767511813506,0.0,0.030178155178155176,0.07517482517482518,0.1397902097902098,0.27012987012987016
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356,6.0,0.031221303948576678,0.03925660109664035,0.0,0.0,0.015151515151515152,0.05716253443526171,0.09090909090909091
0cec4107a713477189bb82d9d34b81190cb1201b,6.0,0.09846380471380471,0.13634821313514559,0.0,0.013888888888888888,0.059027777777777776,0.09744318181818182,0.3636363636363636
