,count,mean,std,min,25%,50%,75%,max
008a13042777e1aaca446a68fbc5b3877e6ed232,6.0,0.05764749358723534,0.11547087210876367,0.0,0.0,0.006097560975609756,0.03513434198513109,0.2909090909090909
0106f488719b5b6dec8020fdf6c9e2e6d2059227,6.0,0.05513561690032279,0.07515452455786567,0.0,0.0,0.029411764705882353,0.075516693163752,0.19090909090909092
025e11c5a647be6af45e5040241901ecd65080f3,6.0,0.032399944764691706,0.042179008886086465,0.0,0.006363636363636363,0.026195286195286195,0.027567340067340067,0.11423131841980005
03ca17c101841d13b549bea0ce51f4e0fe320d0c,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04810dc49618a521e56f3207dc85b34ec4e67375,6.0,0.028010646436312635,0.04722332158544217,0.0,0.0,0.0039100684261974585,0.03320503421309873,0.11857707509881424
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795,6.0,0.033514624626498346,0.05907571050842257,0.0,0.0,0.011730205278592375,0.025449241904286518,0.15151515151515155
084446117d0ab708d724abbe76e58340d13dc899,6.0,0.02930622009569378,0.04544037804899308,0.0,0.0,0.0,0.06369617224880383,0.09090909090909091
0b2b215d3895dc070ff308ca5d5733bb0abda40f,6.0,0.034114436288349335,0.046146976461636784,0.0,0.0,0.016594516594516592,0.04996392496392496,0.11594202898550725
0c2eedb86a7888c7defd056d073fc040a338eec3,6.0,0.06681840578736366,0.10995552989050066,0.0,0.0,0.018292682926829267,0.07164634146341463,0.2809917355371901
0c51503c95c50eeaf97615b29561f75e0d6d60c3,6.0,0.02980833980833981,0.035353847558120516,0.0,0.003968253968253968,0.02222222222222222,0.037142857142857144,0.0944055944055944
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356,6.0,0.052048414041842295,0.07574169725017553,0.0,0.004381161007667032,0.023913837166849215,0.05716253443526171,0.1983471074380165
0cec4107a713477189bb82d9d34b81190cb1201b,6.0,0.09415524018465195,0.10704058970916237,0.0,0.004662004662004662,0.06814753873577403,0.1548663101604278,0.26136363636363635
0de822bddc1dd72a3230320f51b10b9f7a509869,6.0,0.06689754689754691,0.15006511250010066,0.0,0.0,0.0,0.02181818181818182,0.37229437229437234
0e5e2419246434693bfda4a7c0c42bf8f6a75339,6.0,0.07627344877344878,0.08150273648502059,0.0,0.011136363636363637,0.05825757575757576,0.11799242424242425,0.2077922077922078
0e874cd0ec2bac9c0fde37da1d71d9f9c0456023,6.0,0.09972133022731666,0.09588305167271409,0.0,0.024130190796857468,0.10397885666702872,0.12769689987431926,0.25725338491295935
0ebaaad003868565710d1724cb582f41ed3aa598,6.0,0.021338955162484574,0.035372785802814555,0.0,0.0,0.0,0.03308823529411765,0.0839160839160839
0f88be4b4d0a31605c539532fce08ed600190170,6.0,0.02951390949294513,0.03170272708994507,0.0,0.003430531732418525,0.026091832695606283,0.0416019166019166,0.08225108225108226
0fc86b6a1afaad8cc203fac7e27c55097c310937,6.0,0.05300834431269214,0.11981325091229969,0.0,0.0,0.0,0.015810276679841896,0.296969696969697
107e619e6f2a5a39e729d6ffaa91b43d2be99edf,6.0,0.01283901283901284,0.02097845324590355,0.0,0.0,0.0,0.02097902097902098,0.04906204906204907
11a155325f353f226a2e2f1ac11eb3aa5351b146,6.0,0.02705199938401519,0.052227435784505165,0.0,0.0,0.0,0.023907910271546637,0.13043478260869565
1390c5e2235f7bf89d0e6af7570654c3fa81a50e,6.0,0.042684624700434985,0.05656651022627868,0.0,0.002635046113306983,0.018090605047126784,0.06529455393091757,0.14141414141414144
139c29eaf2bf6ea4e53e4a9f895ad1199b063548,6.0,0.09631572131572132,0.15895850375374798,0.0,0.0,0.015151515151515152,0.11931818181818182,0.3986013986013986
15a781a47074cd944066e0eae974606082fc9788,6.0,0.015364167995746943,0.027126681471707423,0.0,0.0,0.0,0.019138755980861243,0.06666666666666667
15b943b08735673bf26c83a3211e0dcdbe4014e0,6.0,0.16164638490841698,0.201539464605257,0.0,0.006350267379679145,0.06917436396046023,0.32558539944903575,0.43506493506493504
15c790d885b3c3fbf73e766b09fe14cb31b34d63,6.0,0.04141590117199873,0.07183458294854143,0.0,0.0,0.0,0.0548780487804878,0.17532467532467533
1617cb7fffc171ccfb7a8a377fb8ed9188bebe0d,6.0,0.011111111111111112,0.02721655269759087,0.0,0.0,0.0,0.0,0.06666666666666667
