,jadud_hw_03,jadud_hw_04,jadud_hw_05,jadud_hw_06,jadud_hw_07,jadud_hw_08
count,295.0,281.0,281.0,279.0,280.0,278.0
mean,0.154153151680458,0.12251698864562698,0.04979071696107584,0.039947428934987955,0.07620866225285497,0.08255430147033332
std,0.15833742056471214,0.16151072862011656,0.0929729927233819,0.06400289770546966,0.1192884921555074,0.09773439006110494
min,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.11764705882352941,0.06324110671936758,0.0,0.019230769230769232,0.0,0.05117079889807163
75%,0.23573137388926868,0.2,0.07142857142857142,0.048975846848187274,0.10562721031828583,0.11466562812952041
max,0.8311688311688312,0.8041958041958043,0.806272330289797,0.5292207792207791,0.5909090909090909,0.5454545454545455
