student;snapshot;datetime;exception;class;method;line;secondary_class;secondary_method;secondary_line
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;Space;toString;39;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;Space;toString;39;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;Space;toString;39;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;Space;toString;39;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;Space;toString;39;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;SpaceTest;testSetBodies;51;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;SpaceTest;testSimulate;70;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;SpaceTest;testSetBodies;51;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;SpaceTest;testSimulate;70;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;SpaceTest;testSetBodies;51;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;SpaceTest;testSimulate;70;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;Space;toString;39;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;Space;toString;39;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;Space;toString;39;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;Space;toString;39;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T15_40_36.697Z;2020-10-25 15:40:36;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;Space;toString;60;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;Space;toString;60;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;Space;toString;60;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;Space;toString;60;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;Space;toString;60;NBodyTest;testSimulateToString1;84
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;NBodyTest;testSimulateNBody;64;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;SpaceTest;testSetBodies;51;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;SpaceTest;testSimulate;70;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;SpaceTest;testSetBodies;51;;;
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-25T19_57_57.766Z;2020-10-25 19:57:57;java.lang.NullPointerException;SpaceTest;testSimulate;70;;;
