student;snapshot;datetime;exception;class;method;line;secondary_class;secondary_method;secondary_line
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-17T02_01_17.394Z;2020-11-17 02:01:17; java.lang.IllegalArgumentException;Codec;encrypt;86;CodecTester;main;180
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-17T02_01_17.394Z;2020-11-17 02:01:17; java.lang.IllegalArgumentException;Codec;encrypt;86;CodecTester;main;180
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-17T02_01_17.394Z;2020-11-17 02:01:17; java.lang.IllegalArgumentException;Codec;encrypt;86;CodecTester;main;180
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-17T02_01_17.394Z;2020-11-17 02:01:17; java.lang.IllegalArgumentException;Codec;encrypt;86;CodecTester;main;182
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-17T02_01_17.394Z;2020-11-17 02:01:17; java.lang.IllegalArgumentException;Codec;encrypt;86;CodecTester;main;182
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-17T02_01_17.394Z;2020-11-17 02:01:17; java.lang.IllegalArgumentException;Codec;encrypt;86;CodecTester;main;180
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T02_27_32.013Z;2020-11-18 02:27:32; java.lang.NullPointerException;LFSR;<init>;23;LFSRTester;main;67
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T02_27_32.013Z;2020-11-18 02:27:32; java.lang.IllegalArgumentException;LFSR;<init>;28;LFSRTester;main;67
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T02_27_32.013Z;2020-11-18 02:27:32; java.lang.IllegalArgumentException;LFSR;<init>;28;LFSRTester;main;67
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-18T02_27_32.013Z;2020-11-18 02:27:32; java.lang.IllegalArgumentException;LFSR;<init>;28;LFSRTester;main;67
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_20_35.283Z;2020-11-23 21:20:35; java.lang.NullPointerException;LFSR;<init>;26;LFSRTester;main;67
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_20_35.283Z;2020-11-23 21:20:35; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_20_35.283Z;2020-11-23 21:20:35; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_20_35.283Z;2020-11-23 21:20:35; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_20_35.283Z;2020-11-23 21:20:35; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_41_43.185Z;2020-11-23 21:41:43; java.lang.NullPointerException;LFSR;<init>;26;LFSRTester;main;67
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_41_43.185Z;2020-11-23 21:41:43; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_41_43.185Z;2020-11-23 21:41:43; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_41_43.185Z;2020-11-23 21:41:43; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T21_41_43.185Z;2020-11-23 21:41:43; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T22_01_19.053Z;2020-11-23 22:01:19; java.lang.NullPointerException;LFSR;<init>;26;LFSRTester;main;67
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T22_01_19.053Z;2020-11-23 22:01:19; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T22_01_19.053Z;2020-11-23 22:01:19; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T22_01_19.053Z;2020-11-23 22:01:19; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T22_01_19.053Z;2020-11-23 22:01:19; java.lang.NullPointerException;LFSR;<init>;62;LFSRTester;main;99
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-23T23_53_04.009Z;2020-11-23 23:53:04; java.lang.NullPointerException;Codec;encode;58;CodecTester;main;67
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-11-24T00_06_02.454Z;2020-11-24 00:06:02; java.lang.NullPointerException;Codec;encode;58;CodecTester;main;67
