"student";"RED"
"008a13042777e1aaca446a68fbc5b3877e6ed232";0.0
"0106f488719b5b6dec8020fdf6c9e2e6d2059227";39.150000000000006
"025e11c5a647be6af45e5040241901ecd65080f3";0.0
"03ca17c101841d13b549bea0ce51f4e0fe320d0c";0.0
"04810dc49618a521e56f3207dc85b34ec4e67375";0.0
"04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795";0.0
"084446117d0ab708d724abbe76e58340d13dc899";0.0
"0b2b215d3895dc070ff308ca5d5733bb0abda40f";0.0
"0c2eedb86a7888c7defd056d073fc040a338eec3";0.0
"0c51503c95c50eeaf97615b29561f75e0d6d60c3";0.0
"0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356";0.0
"0cec4107a713477189bb82d9d34b81190cb1201b";0.0
"0de822bddc1dd72a3230320f51b10b9f7a509869";0.0
"0e5e2419246434693bfda4a7c0c42bf8f6a75339";0.0
"0e874cd0ec2bac9c0fde37da1d71d9f9c0456023";0.0
"0ebaaad003868565710d1724cb582f41ed3aa598";0.0
"0f88be4b4d0a31605c539532fce08ed600190170";0.0
"0fc86b6a1afaad8cc203fac7e27c55097c310937";0.5
"107e619e6f2a5a39e729d6ffaa91b43d2be99edf";5.0
"11a155325f353f226a2e2f1ac11eb3aa5351b146";0.0
"1390c5e2235f7bf89d0e6af7570654c3fa81a50e";2.0
"139c29eaf2bf6ea4e53e4a9f895ad1199b063548";0.0
"15a781a47074cd944066e0eae974606082fc9788";0.0
"15b943b08735673bf26c83a3211e0dcdbe4014e0";0.0
"15c790d885b3c3fbf73e766b09fe14cb31b34d63";5.142857142857143
"1617cb7fffc171ccfb7a8a377fb8ed9188bebe0d";0.0
"1655907b46332e9bf59fd3792dffea88f661da4d";0.0
"1697b3ab314a9d0523a560fb62094ecc8b34c55f";0.0
"16d9298309705bb8ce82f1f11aa45a893548b88a";0.0
"16f05fc1b167b79d431c60e7690dbf8f42a6490b";0.0
"1933eef337e0dad01d6f7dadc966c42abda9d7a5";0.0
"198314c2ae4294f0607d2c85c1e50817f69c6613";0.0
"199166168078f1058210fb1ed2f424a0fd37b7cf";0.0
"19a941d7bba8f42a286f5249358a6e49d06101cc";11.816666666666668
"1a676b4c17bf88842f0bb342f6a115f5bf3abba9";0.0
"1ad9edc00d9ebb99dd584bc7702d51428456e6db";11.45
"1daf3808a0069a2ee28993bb7b4358f05d35d5d4";4.5
"20c9374598da999068e755c6651799d960f81954";0.0
"20ece659e4a299b8be3c7d42aadc6edbdf358d08";0.0
"21dab4c1463f923623b244ac4c19f58c41bc46bc";0.5
"223e47f9cba0cfb0c1fd36160189bdcdd5fb3ae0";0.0
"24d8a641417c3d9b096f69b4afc2f647c5dc1265";0.0
"250f90922642dce6892783fe11a3cbaf5e917cb1";0.5
"25fe012692240da59936ab2cd702848f6ab41d7f";0.0
"260bb5e515632f23d4a975dca9caff206e84bb87";0.0
"26455cd1ecb5229a5e1d69f5c4c845da30ed54c9";0.0
"270e0b07846ed7becbdb27ff75dffe53de21d3e0";0.0
"277a52b85746c8b6ed956104bcc81523056b5633";4.0
"2892d3dbc857f6742361415ebd37d0dde3eeb077";0.0
"2ac9c3d2e2b75c154ab4ea8cc2bad9087497e779";0.0
"2adc3e45fc704d8286cf0b39376b823871ed8484";0.0
"2c22b20e671dbf5ab6f9c84da21690f72cbed8ef";0.5
