student;snapshot;c_error;r_error;t_failed;t_success
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-30T22_08_30.582Z;0;3;11;30
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-30T22_10_09.328Z;1;0;0;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T16_22_11.464Z;1;0;0;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T16_22_38.667Z;0;0;8;33
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T16_25_12.147Z;0;0;2;39
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T16_25_29.637Z;0;3;12;29
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T16_42_52.001Z;0;0;5;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T16_43_34.904Z;0;0;1;40
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T16_49_14.476Z;0;0;1;40
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T16_50_06.753Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T16_50_15.523Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T18_03_57.224Z;0;3;11;30
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T18_07_25.378Z;0;0;5;36
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T18_27_36.356Z;0;1;4;37
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T18_28_47.982Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T18_28_55.035Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T18_41_26.250Z;0;2;4;37
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T18_41_29.336Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-31T18_41_35.232Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-02T20_55_09.600Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-02T20_57_14.736Z;0;0;3;38
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-02T21_01_38.599Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-02T21_09_20.224Z;0;0;1;40
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-02T22_02_08.413Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-02T22_04_25.793Z;0;0;3;38
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-02T22_08_20.275Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-03T01_58_20.945Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-03T17_27_09.862Z;0;0;3;38
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-03T17_28_30.785Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-03T17_30_31.272Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-03T20_19_15.353Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-03T21_37_32.493Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-03T21_38_18.835Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-03T21_38_36.850Z;0;0;3;38
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-03T23_29_30.545Z;0;0;1;40
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-03T23_57_07.524Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-04T15_07_18.942Z;0;0;3;38
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-04T15_17_19.842Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-04T15_24_23.273Z;0;0;1;40
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-04T16_11_57.544Z;0;0;3;38
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-04T18_00_35.157Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-04T18_04_02.666Z;0;0;0;41
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-04T18_07_37.148Z;0;0;1;40
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-11-04T19_50_44.847Z;0;4;4;37
