student;snapshot;c_error;r_error;t_failed;t_success
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-10T16_33_34.372Z;1;0;0;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-10T16_35_11.518Z;0;0;36;0
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-10T17_19_04.498Z;0;0;29;7
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-10T17_43_04.101Z;0;0;24;12
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-11T14_58_23.690Z;0;0;19;17
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-11T16_12_53.421Z;0;1;13;23
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-11T17_51_44.597Z;0;1;12;24
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-12T22_02_43.994Z;0;1;12;24
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-12T23_52_25.139Z;0;1;12;24
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-14T13_46_09.554Z;0;1;12;24
008a13042777e1aaca446a68fbc5b3877e6ed232;2020-10-14T21_27_30.631Z;0;0;11;25
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-13T01_02_05.451Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-13T01_11_41.009Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-13T03_51_46.434Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-13T23_12_24.799Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-14T02_15_19.589Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-14T02_52_08.307Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-14T03_37_37.759Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-14T07_06_02.500Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-14T15_18_09.098Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-14T15_40_14.117Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-14T19_18_17.531Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-14T19_28_42.392Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-14T19_41_17.227Z;1;0;0;0
0106f488719b5b6dec8020fdf6c9e2e6d2059227;2020-10-14T20_42_33.847Z;0;0;11;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-14T06_11_00.345Z;1;0;0;0
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-14T08_20_08.874Z;0;0;11;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-14T09_23_57.580Z;0;0;11;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-14T09_35_44.867Z;0;0;11;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-14T10_35_15.535Z;0;0;11;25
025e11c5a647be6af45e5040241901ecd65080f3;2020-10-14T11_25_25.519Z;0;0;11;25
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-14T23_12_27.718Z;1;0;0;0
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-15T01_55_39.623Z;0;0;0;0
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-15T02_00_00.375Z;0;2;12;24
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-15T02_46_36.185Z;0;0;0;0
03ca17c101841d13b549bea0ce51f4e0fe320d0c;2020-10-15T02_53_38.800Z;0;0;10;26
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-12T20_39_32.127Z;1;0;0;0
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-13T00_00_44.508Z;1;0;0;0
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-13T00_28_15.701Z;1;0;0;0
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-14T22_15_53.285Z;0;0;10;26
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-14T22_26_17.713Z;0;0;10;26
04810dc49618a521e56f3207dc85b34ec4e67375;2020-10-14T23_44_02.850Z;0;0;10;26
04810dc49618a521e56f3207dc85b34ec4e67375;2021-03-11T22_39_25.613Z;0;0;10;26
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-10-11T20_27_15.616Z;1;0;0;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-10-11T20_33_31.454Z;1;0;0;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-10-11T21_26_19.559Z;1;0;0;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-10-11T22_22_12.591Z;1;0;0;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-10-14T04_13_26.148Z;0;0;15;21
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-10-14T04_37_08.441Z;1;0;0;0
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-10-15T05_23_45.396Z;0;0;14;22
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-10-15T06_59_37.732Z;0;0;11;25
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;2020-10-15T15_20_39.872Z;0;0;11;25
084446117d0ab708d724abbe76e58340d13dc899;2020-10-15T05_01_37.805Z;0;0;0;0
084446117d0ab708d724abbe76e58340d13dc899;2020-10-15T05_02_56.175Z;0;0;0;0
084446117d0ab708d724abbe76e58340d13dc899;2020-10-15T05_03_23.669Z;0;0;36;0
084446117d0ab708d724abbe76e58340d13dc899;2020-10-15T07_03_13.070Z;0;0;11;25
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-10-13T01_07_20.611Z;1;0;0;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-10-13T01_33_57.076Z;1;0;0;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-10-15T02_17_52.435Z;1;0;0;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-10-15T04_43_57.637Z;1;0;0;0
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-10-15T05_28_29.474Z;0;0;21;15
0b2b215d3895dc070ff308ca5d5733bb0abda40f;2020-10-15T06_55_28.969Z;0;0;11;25
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-13T02_47_12.987Z;0;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-13T02_47_42.655Z;0;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-13T03_28_45.359Z;0;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-13T04_56_44.314Z;0;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-13T05_36_05.421Z;0;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-14T02_01_30.085Z;0;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-14T02_35_42.474Z;0;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-14T22_57_26.069Z;0;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-14T23_11_45.466Z;1;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-14T23_15_54.100Z;0;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-14T23_16_24.512Z;0;0;0;0
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-14T23_21_34.489Z;0;0;16;20
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-15T04_16_49.603Z;0;0;16;20
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-15T04_55_14.522Z;0;0;16;20
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-15T05_51_10.041Z;0;0;16;20
0c2eedb86a7888c7defd056d073fc040a338eec3;2020-10-15T11_04_29.871Z;0;0;11;25
0c51503c95c50eeaf97615b29561f75e0d6d60c3;2020-10-14T01_09_39.097Z;1;0;0;0
0c51503c95c50eeaf97615b29561f75e0d6d60c3;2020-10-14T01_58_15.764Z;0;0;21;15
0c51503c95c50eeaf97615b29561f75e0d6d60c3;2020-10-15T02_07_48.091Z;0;0;11;25
0c51503c95c50eeaf97615b29561f75e0d6d60c3;2020-10-15T14_19_14.737Z;0;0;11;25
0c51503c95c50eeaf97615b29561f75e0d6d60c3;2020-10-16T00_27_03.235Z;0;0;11;25
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-13T03_16_35.522Z;1;0;0;0
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-13T04_33_49.196Z;0;4;25;11
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-13T05_21_56.512Z;0;0;14;22
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-15T05_32_48.577Z;0;0;14;22
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-15T13_24_21.651Z;0;0;14;22
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-15T13_41_33.766Z;0;0;14;22
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-15T18_17_03.228Z;0;0;14;22
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-15T18_28_21.684Z;1;0;0;0
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;2020-10-15T19_23_57.008Z;0;0;11;25
0cec4107a713477189bb82d9d34b81190cb1201b;2020-10-12T19_23_24.270Z;1;0;0;0
0cec4107a713477189bb82d9d34b81190cb1201b;2020-10-12T19_42_12.287Z;1;0;0;0
0cec4107a713477189bb82d9d34b81190cb1201b;2020-10-12T20_09_53.550Z;1;0;0;0
0cec4107a713477189bb82d9d34b81190cb1201b;2020-10-12T22_46_28.453Z;1;0;0;0
0cec4107a713477189bb82d9d34b81190cb1201b;2020-10-16T20_43_39.417Z;1;0;0;0
0cec4107a713477189bb82d9d34b81190cb1201b;2020-10-16T21_07_55.023Z;0;0;21;15
