HASH_ID,HW00 Grade,HW01 Grade,HW02 Grade,HW03 Grade,HW04 Grade,HW05 Grade,HW06 Grade,HW07 Grade,HW08 Grade,HW09 Grade,HW Avg,Extensions,HW00 Late Days,HW01 Late Days,HW02 Late Days,HW03 Late Days,HW04 Late Days,HW05 Late Days,HW06 Late Days,HW07 Late Days,HW08 Late Days
0fc86b6a1afaad8cc203fac7e27c55097c310937,100,99,91,100,93,97,92,86,70,,92,0,2,0,0,1,0,0,1,0,0
ff3a194928159b2440a0a89750ae23fbf55f279c,70,74.5,79,54,92,100,44,87.5,70.4062,,74.60068889,3,0,0,1,1,0,1,2,1,1
7c8aacb1a1b8db047ada8a5e719c07f94ba911c0,100,98,97,100,100,100,97,100,70,,95.77777778,0,0,0,0,0,0,0,0,0,0
ba5871e0c8d519c35c818eb8cee94c7f49e7eaa4,100,97,81,98,98,100,97,98,100,,96.55555556,0,0,0,0,0,0,0,2,0,0
b9c2d0d2342a353dad6ddd8bb452466719b8f726,100,88,100,99,95,96,94,100,70,,93.55555556,0,0,0,0,0,0,0,0,0,0
1ad9edc00d9ebb99dd584bc7702d51428456e6db,98,96,86,55,94,92,63,86,59.7406,,81.08228889,0,0,0,0,1,0,0,0,0,0
2adc3e45fc704d8286cf0b39376b823871ed8484,100,98,90,100,98,92,100,60,70,,89.77777778,0,0,0,0,0,0,0,0,0,0
8d6e3a4788b876ced6ef6f77912d1ee181b415fc,92,95,92.5,81.5,90,94,79,100,64.2906,,87.58784444,0,0,0,0,1,0,0,2,0,0
7dec407a0a131855a9137b0e04a6cc5b9cb8af66,100,98,80.5,98,91.4,95,91,100,70,,91.54444444,0,0,2,0,0,0,0,1,0,0
dec8062b7eab8a96c95b9d4fedbd62dce2e25925,100,96,93,97.5,100,100,100,60,70,,90.72222222,0,0,0,0,0,0,0,0,0,0
82090777057e5b8418e4c209a20c2928997d24cb,100,100,98,72,98,100,99,97,70,,92.66666667,0,0,0,0,0,0,0,0,1,2
7adfe8a8f2ce49fabe8772d2c7d7deca8749b914,98,94,94,100,96,98,100,100,100,,97.77777778,0,0,0,0,1,0,0,0,0,0
ade33521e7d76a3811bb51f5b3a319d05e6e6ef7,88,85,30,35,0,0,0,0,0,,26.44444444,0,0,0,0,0,0,0,0,0,0
c090aea6396949a3e236f180d10c0a6d2c0830c2,100,69,96,96,100,100,64,88,72.9626,,87.32917778,1,0,2,2,1,0,0,1,0,0
f28c6e1a9bf60d3ba776d6be18bb5dcc3d2d91da,100,92,92,54,95,92,97,94,70,,87.33333333,0,0,0,0,0,0,0,0,0,0
b6ebdf3e5f0e4bbfda909dac06134289016c7359,100,98,96,100,98,100,97,99,100,,98.66666667,0,0,0,0,0,0,0,2,0,0
d6dc01b3eb6b54a9638fd12260fb20e169d5da66,100,98,99,100,100,100,90,60,70,,90.77777778,0,0,0,0,0,0,0,2,0,0
21dab4c1463f923623b244ac4c19f58c41bc46bc,100,97,100,98,100,96,100,100,100,,99,0,0,0,0,0,0,0,1,1,0
c8644b4cd562816bcc1a3c5dd236ec0d1a178ee1,100,98,94.5,94,98,93,100,100,70,,94.16666667,0,0,0,0,0,0,0,0,0,0
96eef9f178b631ed0e867941742c25f4b9f65da7,100,95,86.5,43.5,77.2,96,62,57,60.8126,,75.33473333,0,0,0,0,2,0,0,2,1,0
e2b0a9571c6fef418621bf040dca3da8c5362a21,100,102,94,100,100,100,100,96,100,,99.11111111,0,0,0,0,0,0,0,1,0,0
76d73dd6aeff425bfefdd46f36c07ab5e12bc561,100,96,101,87,98,100,99,104,70,,95,0,0,0,0,0,0,0,2,2,1
ce441af47af87f111d102b2233f3d9a5072e1add,100,102,92,100,98,100,96,60,100,,94.22222222,0,0,0,0,0,0,0,2,2,0
91fbcb21c14a7530f2f3ef869853a53622ed7334,100,96,98,96,100,100,93,60,70,,90.33333333,0,0,0,0,0,0,0,2,2,0
